i,variant,lpips,psnr,ssim,reins
0,sd_baseline,0.3569,15.379,0.5608,1
0,global_neg,0.319,17.026,0.5937,1
0,osrg,0.3398,16.015,0.5717,1
1,sd_baseline,0.275,15.713,0.4277,1
1,global_neg,0.2624,15.912,0.4452,0
1,osrg,0.2855,15.506,0.4288,1
2,sd_baseline,0.2115,25.851,0.6783,0
2,global_neg,0.2127,26.428,0.6768,0
2,osrg,0.2225,25.202,0.6687,0
3,sd_baseline,0.1627,17.944,0.6286,1
3,global_neg,0.1538,17.731,0.6448,1
3,osrg,0.1686,16.986,0.6445,1
4,sd_baseline,0.365,16.06,0.2881,0
4,global_neg,0.3771,15.696,0.2807,0
4,osrg,0.394,15.765,0.273,0
5,sd_baseline,0.2962,19.43,0.4397,0
5,global_neg,0.2987,19.13,0.4405,0
5,osrg,0.3106,18.857,0.445,0
6,sd_baseline,0.0612,27.998,0.6563,0
6,global_neg,0.058,28.026,0.6573,0
6,osrg,0.0643,27.899,0.6558,0
7,sd_baseline,0.3245,20.11,0.4553,0
7,global_neg,0.348,19.366,0.466,0
7,osrg,0.3627,17.351,0.4532,0
8,sd_baseline,0.2067,17.931,0.5415,0
8,global_neg,0.2677,16.869,0.5277,0
8,osrg,0.2919,15.139,0.5032,0
9,sd_baseline,0.3799,18.836,0.35,0
9,global_neg,0.3767,18.821,0.3549,0
9,osrg,0.3951,18.785,0.3522,0
10,sd_baseline,0.1704,21.355,0.6525,0
10,global_neg,0.1798,21.525,0.6537,0
10,osrg,0.2205,20.95,0.6426,0
11,sd_baseline,0.3224,18.91,0.5029,0
11,global_neg,0.2828,19.044,0.5205,0
11,osrg,0.3297,18.701,0.504,0
12,sd_baseline,0.2395,21.368,0.7333,0
12,global_neg,0.2361,22.298,0.7348,0
12,osrg,0.2642,20.381,0.7189,0
13,sd_baseline,0.2223,19.399,0.5437,0
13,global_neg,0.2436,19.052,0.5373,0
13,osrg,0.2306,18.987,0.5345,0
14,sd_baseline,0.1349,24.73,0.6121,0
14,global_neg,0.1413,24.738,0.6159,0
14,osrg,0.148,24.486,0.6169,0
15,sd_baseline,0.2818,19.836,0.4666,0
15,global_neg,0.3094,19.972,0.4735,0
15,osrg,0.3311,19.838,0.4696,0
